[794.26] timestamp,right_position,heading,real_right_velocity,right_jerk,right_velocity,left_jerk,left_velocity,right_accel,right_error,real_heading,left_accel,left_error,real_left_velocity,left_position
[794.38] 755580,2.565,0.000,5.461,-0.000,6.000,-0.000,6.000,8.000,40.000,-0.350,8.000,228.000,5.452,2.565
[794.38] 108194,2.265,0.000,5.141,0.000,5.600,0.000,5.600,8.000,209.000,-0.950,8.000,290.000,5.274,2.265
[794.38] 111045,20.000,0.000,-0.081,11.429,0.014,11.429,0.014,-0.857,68.000,-3.890,-0.857,5.000,0.000,20.000
[794.38] 758528,20.000,0.000,-0.087,5.717,0.000,5.717,0.000,-0.000,33.000,-2.340,-0.000,5.000,0.000,20.000
[794.38] 109880,17.115,0.000,7.834,-5.717,6.800,-5.717,6.800,-8.000,-423.000,-3.120,-8.000,-372.000,7.986,17.115
[794.38] 754690,0.021,0.000,0.000,11.429,0.229,11.429,0.229,2.000,21.000,0.000,2.000,31.000,0.000,0.021
[794.38] 754650,0.010,0.000,0.000,17.143,0.129,17.143,0.129,1.429,21.000,0.000,1.429,31.000,0.000,0.010
[794.38] 756093,6.565,0.000,10.032,-11.429,9.300,-11.429,9.300,4.286,-326.000,0.290,4.286,-185.000,10.065,6.565
[794.38] 757990,19.854,0.000,0.992,11.429,1.157,11.429,1.157,-5.429,146.000,-2.760,-5.429,186.000,0.959,19.854
[794.38] 110021,18.015,0.000,6.371,-0.000,5.600,-0.000,5.600,-8.000,-291.000,-3.020,-8.000,-351.000,6.580,18.015
[794.38] 757447,18.275,0.000,6.062,0.000,5.200,0.000,5.200,-8.000,-336.000,-1.810,-8.000,-461.000,6.024,18.275
[794.38] 758143,19.961,0.000,0.095,11.429,0.514,11.429,0.514,-3.715,108.000,-2.790,-3.715,155.000,0.114,19.961
[794.38] 107283,0.010,0.000,0.003,17.143,0.129,17.143,0.129,1.429,21.000,-0.010,1.429,15.000,0.000,0.010
[794.38] 757526,18.515,0.000,5.100,-0.000,4.800,-0.000,4.800,-8.000,-115.000,-2.060,-8.000,-216.000,5.089,18.515
[794.38] 108977,9.001,0.000,10.729,-11.429,9.943,-11.429,9.943,1.429,-64.000,-1.290,1.429,-273.000,10.347,9.001
[794.38] 756254,8.010,0.000,9.962,-11.429,9.771,-11.429,9.771,2.571,-138.000,0.010,2.571,-414.000,10.891,8.010
[794.38] 756453,10.000,0.000,10.612,-11.429,10.000,-11.429,10.000,0.286,-200.000,-1.320,0.286,-165.000,10.661,10.000
[794.38] 107341,0.021,0.000,0.003,11.429,0.229,11.429,0.229,2.000,21.000,-0.010,2.000,47.000,0.000,0.021
[794.38] 110180,18.735,0.000,5.011,0.000,4.400,0.000,4.400,-8.000,-144.000,-3.050,-8.000,-299.000,4.924,18.735
[794.39] 757096,16.036,0.000,9.171,-11.429,7.943,-11.429,7.943,-6.571,-405.000,-2.430,-6.571,-393.000,9.187,16.036
[794.39] 108200,2.265,0.000,5.141,0.000,5.600,0.000,5.600,8.000,209.000,-0.950,8.000,290.000,5.274,2.265
[794.39] 108409,3.964,0.000,7.309,-5.714,7.586,-5.714,7.586,7.714,116.000,-0.590,7.714,123.000,7.257,3.964
[794.39] 758209,19.979,0.000,0.000,11.429,0.357,11.429,0.357,-3.143,172.000,-2.770,-3.143,155.000,0.003,19.979
[794.39] 757160,16.415,0.000,8.802,-11.429,7.586,-11.429,7.586,-7.143,-405.000,-2.230,-7.143,-371.000,8.829,16.415
[794.39] 110583,19.797,0.000,1.125,11.429,1.429,11.429,1.429,-6.000,152.000,-3.900,-6.000,161.000,1.016,19.797
