timestampThrottle,Steer,QuickTurn,Incrementer,Mag1,Mag2
95821.412,-0.00,0.00,false,460,true,true
95841.28099999999,-0.00,0.00,false,461,true,true
95861.252,-0.00,0.00,false,462,true,true
95880.302,-0.00,0.00,false,463,true,true
95900.486,-0.00,0.00,false,464,true,true
95920.657,-0.00,0.00,false,465,true,true
95941.202,-0.00,0.00,false,466,true,true
95960.648,-0.00,0.00,false,467,true,true
95981.24799999999,-0.00,0.00,false,468,true,true
96001.372,-0.00,0.00,false,469,true,true
96020.447,-0.00,0.00,false,470,true,true
96041.462,-0.00,0.00,false,471,true,true
96061.287,-0.00,0.00,false,472,true,true
96081.261,-0.00,0.00,false,473,true,true
96100.523,-0.00,0.00,false,474,true,true
96121.634,-0.00,0.00,false,475,true,true
96141.26400000001,-0.00,0.00,false,476,true,true
96160.497,-0.00,0.00,false,477,true,true
96180.796,-0.00,0.00,false,478,true,true
96201.731,-0.00,0.00,false,479,true,true
96221.023,-0.00,0.00,false,480,true,true
96240.488,-0.00,0.00,false,481,true,true
96261.432,-0.00,0.00,false,482,true,true
96280.551,-0.00,0.00,false,483,true,true
96300.916,-0.00,0.00,false,484,true,true
96321.535,-0.00,0.00,false,485,true,true
96341.62700000001,-0.00,0.00,false,486,true,true
96360.797,-0.00,0.00,false,487,true,true
96381.727,-0.00,0.00,false,488,true,true
96401.615,-0.00,0.00,false,489,true,true
96421.262,-0.00,0.00,false,490,true,true
96440.506,-0.00,0.00,false,491,true,true
96461.26800000001,-0.00,0.00,false,492,true,true
96481.08,-0.00,0.00,false,493,true,true
96500.803,-0.00,0.00,false,494,true,true
96521.284,-0.00,0.00,false,495,true,true
96540.687,-0.00,0.00,false,496,true,true
96561.16,-0.00,0.00,false,497,true,true
96580.831,-0.00,0.00,false,498,true,true
96601.674,-0.00,0.00,false,499,true,true
96621.565,-0.00,0.00,false,500,true,true
96661.012,-0.00,0.00,false,501,true,true
96681.706,-0.00,0.00,false,502,true,true
96700.954,-0.00,0.00,false,503,true,true
96721.124,-0.00,0.00,false,504,true,true
96740.30500000001,-0.00,0.00,false,505,true,true
96761.184,-0.00,0.00,false,506,true,true
96780.73000000001,-0.00,0.00,false,507,true,true
96800.932,-0.00,0.00,false,508,true,true
96821.887,-0.00,0.00,false,509,true,true
96841.19900000001,-0.00,0.00,false,510,true,true
96860.586,-0.00,0.00,false,511,true,true
96881.227,-0.00,0.00,false,512,true,true
96900.296,-0.00,0.00,false,513,true,true
96920.586,-0.00,0.00,false,514,true,true
96941.199,-0.00,0.00,false,515,true,true
96961.258,-0.00,0.00,false,516,true,true
96980.612,-0.00,0.00,false,517,true,true
97000.671,-0.00,0.00,false,518,true,true
97021.64,-0.00,0.00,false,519,true,true
97041.428,-0.00,0.00,false,520,true,true
97061.285,-0.00,0.00,false,521,true,true
97080.42899999999,-0.00,0.00,false,522,true,true
97100.679,-0.00,0.00,false,523,true,true
97121.572,-0.00,0.00,false,524,true,true
